_id,disk_bytes_read,disk_bytes_written,elapsed_time,host_hostname,name,path,start_time
619db92e73459a10a4a1fef4,28.71 KB,64 bytes,23,Sack,UNS.exe,C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\UNS\UNS.exe,2021-10-24 23:25:29
619db92e73459a10a4a1fef5,19.82 KB,0 bytes,22,Sack,cmd.exe,C:\Windows\SysWOW64\cmd.exe,2021-10-25 21:00:23
619db92e73459a10a4a1fef6,17.62 KB,0 bytes,22,Sack,conhost.exe,C:\Windows\System32\conhost.exe,2021-10-25 21:00:23
619db92e73459a10a4a1fef7,1.02 GB,736.51 MB,22,Sack,cscript.exe,C:\Windows\SysWOW64\cscript.exe,2021-10-25 21:00:23
619db92e73459a10a4a1fef8,7.12 MB,0 bytes,18,Sack,csrss.exe,C:\Windows\System32\csrss.exe,2021-10-29 22:30:27
619db92e73459a10a4a1fef9,987.31 KB,800 bytes,18,Sack,winlogon.exe,C:\Windows\System32\winlogon.exe,2021-10-29 22:30:28
619db92e73459a10a4a1fefa,10.2 GB,4.07 GB,15,Sack,TrustedInstaller.exe,C:\Windows\servicing\TrustedInstaller.exe,2021-11-01 17:36:08
619db92e73459a10a4a1fefb,1.94 MB,4.48 MB,15,Sack,taskhost.exe,C:\Windows\System32\taskhost.exe,2021-11-01 22:38:38
619db92e73459a10a4a1fefc,31.54 MB,0 bytes,15,Sack,ccSvcHst.exe,C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.2.1023.0100.105\Bin\ccSvcHst.exe,2021-11-01 22:38:39
619db92e73459a10a4a1fefd,22.49 KB,0 bytes,15,Sack,rundll32.exe,C:\Windows\System32\rundll32.exe,2021-11-01 22:38:39
619db92e73459a10a4a1fefe,37.76 KB,0 bytes,15,Sack,dwm.exe,C:\Windows\System32\dwm.exe,2021-11-01 22:38:40
619db92e73459a10a4a1feff,459.97 MB,3.3 MB,15,Sack,explorer.exe,C:\Windows\explorer.exe,2021-11-01 22:38:40
619db92e73459a10a4a1ff00,21.75 KB,0 bytes,15,Sack,igfxtray.exe,C:\Windows\System32\igfxtray.exe,2021-11-01 22:38:41
619db92e73459a10a4a1ff01,29.44 KB,0 bytes,15,Sack,hkcmd.exe,C:\Windows\System32\hkcmd.exe,2021-11-01 22:38:41
619db92e73459a10a4a1ff02,38.1 KB,5.06 KB,15,Sack,igfxpers.exe,C:\Windows\System32\igfxpers.exe,2021-11-01 22:38:41
619db92e73459a10a4a1ff03,10.42 KB,0 bytes,15,Sack,sttray64.exe,C:\Program Files\IDT\WDM\sttray64.exe,2021-11-01 22:38:41
619db92e73459a10a4a1ff04,39.87 KB,0 bytes,15,Sack,StikyNot.exe,C:\Windows\System32\StikyNot.exe,2021-11-01 22:38:41
619db92e73459a10a4a1ff05,5.25 MB,9.7 MB,15,Sack,IAStorIcon.exe,C:\Program Files (x86)\Intel\Intel(R) Rapid Storage Technology\IAStorIcon.exe,2021-11-01 22:38:41
619db92e73459a10a4a1ff06,30.6 KB,0 bytes,15,Sack,concentr.exe,C:\Program Files (x86)\Citrix\ICA Client\concentr.exe,2021-11-01 22:38:42
619db92e73459a10a4a1ff07,65.9 KB,0 bytes,15,Sack,wfcrun32.exe,C:\Program Files (x86)\Citrix\ICA Client\wfcrun32.exe,2021-11-01 22:38:42
619db92e73459a10a4a1ff08,1.02 MB,572.87 KB,15,Sack,taskhost.exe,C:\Windows\System32\taskhost.exe,2021-11-01 22:41:04
619db92e73459a10a4a1ff09,0 bytes,0 bytes,12,Sack,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-04 20:36:10
619db92e73459a10a4a1ff0a,125.94 KB,0 bytes,11,Sack,csrss.exe,C:\Windows\System32\csrss.exe,2021-11-05 19:33:54
619db92e73459a10a4a1ff0b,44.95 KB,160 bytes,11,Sack,winlogon.exe,C:\Windows\System32\winlogon.exe,2021-11-05 19:33:54
619db92e73459a10a4a1ff0c,106.73 KB,320 bytes,11,Sack,LogonUI.exe,C:\Windows\System32\LogonUI.exe,2021-11-05 19:33:55
619db92e73459a10a4a1ff0d,13.14 KB,3.86 KB,11,Sack,rdpclip.exe,C:\Windows\System32\rdpclip.exe,2021-11-05 19:33:56
619db92e73459a10a4a1ff0e,1.78 MB,232.99 KB,11,Sack,sublime_text.exe,C:\Program Files (x86)\Sublime Text 3\sublime_text.exe,2021-11-05 19:34:19
619db92e73459a10a4a1ff0f,5.53 MB,3.95 MB,11,Sack,plugin_host.exe,C:\Program Files (x86)\Sublime Text 3\plugin_host.exe,2021-11-05 19:34:20
619db92e73459a10a4a1ff10,5.29 MB,5.93 KB,5,Sack,NanoNTDevelopment.exe,C:\Program Files (x86)\SanDisk\NanoNTDevelopment\NanoNTDevelopment 12.9\Bin\NanoNTDevelopment.exe,2021-11-11 23:44:34
619db92e73459a10a4a1ff11,47.44 KB,7.51 KB,5,Sack,PyScriptEditor.exe,C:\Program Files (x86)\SanDisk\NanoNTDevelopment\NanoNTDevelopment 12.9\Bin\PyScriptEditor.exe,2021-11-11 23:44:37
